,,,,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Single Turn,Multi Turn,Multi Turn,Multi Turn,Multi Turn,Multi Turn,Hallucination Measurement,Hallucination Measurement,,
,,,,Latency (s),Latency (s),Latency (s),Non-live (AST),Non-live (AST),Non-live (AST),Non-live (AST),Non-live (AST),Non-live (Exec),Non-live (Exec),Non-live (Exec),Non-live (Exec),Non-live (Exec),Live (AST),Live (AST),Live (AST),Live (AST),Live (AST),Multi turn,Multi turn,Multi turn,Multi turn,Multi turn,,,,
Rank 🔼,Overall Acc,Model,size,Mean,SD,P95,AST Summary,Simple,Multiple,Parallel,Multiple Parallel,Exec Summary,Simple,Multiple,Parallel,Multiple Parallel,Overall Acc,Simple,Multiple,Parallel,Multiple Parallel,Overall Acc,Base,Miss Func,Miss Param,Long Context,Relevance,Irrelevance,Organization,License
Rank 🔼,Overall Acc,Model,size,Single TurnLatency (s)Mean,Single TurnLatency (s)SD,Single TurnLatency (s)P95,Single TurnNon-live (AST)AST Summary,Single TurnNon-live (AST)Simple,Single TurnNon-live (AST)Multiple,Single TurnNon-live (AST)Parallel,Single TurnNon-live (AST)Multiple Parallel,Single TurnNon-live (Exec)Exec Summary,Single TurnNon-live (Exec)Simple,Single TurnNon-live (Exec)Multiple,Single TurnNon-live (Exec)Parallel,Single TurnNon-live (Exec)Multiple Parallel,Single TurnLive (AST)Overall Acc,Single TurnLive (AST)Simple,Single TurnLive (AST)Multiple,Single TurnLive (AST)Parallel,Single TurnLive (AST)Multiple Parallel,Multi TurnMulti turnOverall Acc,Multi TurnMulti turnBase,Multi TurnMulti turnMiss Func,Multi TurnMulti turnMiss Param,Multi TurnMulti turnLong Context,Hallucination MeasurementRelevance,Hallucination MeasurementIrrelevance,Organization,License
1,74.31,watt-tool-70B (FC),70,3.4,12.61,7.7,84.06,78.75,94,85.5,78,89.39,98.57,94,90,75,77.74,86.05,83.48,81.25,62.5,58.75,67.5,57.5,48.5,61.5,94.44,76.32,Watt AI Lab,Apache-2.0
2,72.08,gpt-4o-2024-11-20 (Prompt),NA,0.78,0.93,1.48,88.1,79.42,95.5,94,83.5,89.38,100,94,86,77.5,79.83,84.88,79.77,87.5,75,47.62,59,41,35.5,55,83.33,83.76,OpenAI,Proprietary
3,69.58,gpt-4o-2024-11-20 (FC),NA,1.11,1.73,2.29,87.42,77.17,93.5,93,86,89.2,88.29,92,94,82.5,79.65,81.4,78.82,87.5,75,41,62.5,6,37.5,58,83.33,83.15,OpenAI,Proprietary
4,67.98,watt-tool-8B (FC),8,1.31,2.79,4.04,86.56,76.75,95,94,80.5,89.34,97.86,94,88,77.5,76.5,76.74,77.49,87.5,70.83,39.12,47.5,41.5,27,40.5,83.33,83.15,Watt AI Lab,Apache-2.0
5,67.88,GPT-4-turbo-2024-04-09 (FC),NA,2.47,6.27,5.08,84.73,70.42,91,90,87.5,85.21,87.36,90,86,77.5,80.5,83.72,78.63,81.25,70.83,38.12,54,13.5,35.5,49.5,72.22,83.81,OpenAI,Proprietary
6,67.72,BitAgent-8B,8,26.73,23.43,74.82,86.92,76.17,95,94,82.5,89.52,98.57,94,88,77.5,76.14,77.91,77.4,87.5,70.83,38.5,48,40,26.5,39.5,83.33,82.38,Bittensor,Apache-2.0
7,66.73,o1-2024-12-17 (Prompt),NA,5.3,4.29,13,85.67,72.67,93.5,91.5,85,79.77,58.57,92,86,82.5,80.63,82.95,76.54,81.25,75,36,50.5,0.5,48.5,44.5,72.22,87.78,OpenAI,Proprietary
