Rank,Overall Acc,Model,Model Link,Organization,License,AST Summary,Exec Summary,Simple Function AST,Python Simple Function AST,Java Simple Function AST,JavaScript Simple Function AST,Multiple Functions AST,Parallel Functions AST,Parallel Multiple AST,Simple Function Exec,Python Simple Function Exec,REST Simple Function Exec,Multiple Functions Exec,Parallel Functions Exec,Parallel Multiple Exec,Relevance Detection,Cost ($ Per 1k Function Calls),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s)
1,90.53%,Claude-3.5-Sonnet-20240620 (Prompt),https://www.anthropic.com/news/claude-3-5-sonnet,Anthropic,Proprietary,91.89%,90.00%,88.55%,96.00%,65.00%,76.00%,95.00%,91.50%,92.50%,100.00%,100.00%,100.00%,96.00%,84.00%,80.00%,84.17%,2.21,1.65,0.62,2.91
2,88.88%,Functionary-Medium-v3.1 (FC),https://huggingface.co/meetkai/functionary-medium-v3.1,MeetKai,MIT,90.92%,89.97%,86.18%,95.50%,63.00%,58.00%,95.00%,93.00%,89.50%,95.88%,100.00%,90.00%,94.00%,90.00%,80.00%,81.25%,85.52,8.22,8.18,20.02
3,88.76%,xLAM-7b-fc-r (FC),https://huggingface.co/Salesforce/xLAM-7b-fc-r,Salesforce,cc-by-nc-4.0,89.84%,88.12%,86.36%,95.00%,60.00%,70.00%,93.50%,92.00%,87.50%,96.47%,99.00%,92.86%,88.00%,88.00%,80.00%,85.00%,N/A,N/A,N/A,N/A
4,88.53%,GPT-4-1106-Preview (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,91.23%,89.48%,88.91%,95.25%,69.00%,78.00%,95.50%,89.00%,91.50%,99.41%,100.00%,98.57%,94.00%,82.00%,82.50%,72.50%,5.34,1.5,0.83,3.03
5,88.53%,GPT-4-0613 (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,89.94%,87.64%,87.27%,93.75%,66.00%,78.00%,92.50%,91.00%,89.00%,97.06%,97.00%,97.14%,88.00%,88.00%,77.50%,81.67%,15.14,1.95,1.1,4.14
6,88.12%,GPT-4-0125-Preview (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,91.64%,89.85%,88.55%,95.50%,69.00%,72.00%,95.00%,90.00%,93.00%,99.41%,100.00%,98.57%,96.00%,84.00%,80.00%,68.33%,5.28,1.92,1.22,4.26
7,88.00%,Claude-3-Opus-20240229 (Prompt),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,88.72%,86.37%,86.36%,94.25%,62.00%,72.00%,94.50%,87.50%,86.50%,96.47%,97.00%,95.71%,94.00%,80.00%,75.00%,84.58%,10.9,2.95,1.02,4.82
8,87.35%,GPT-4o-mini-2024-07-18 (Prompt),https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,OpenAI,Proprietary,88.60%,89.98%,86.91%,93.50%,64.00%,80.00%,93.00%,86.00%,88.50%,99.41%,100.00%,98.57%,96.00%,82.00%,82.50%,75.42%,0.08,1.15,0.76,2.53
9,87.18%,Nemotron-4-340b-instruct (Prompt),https://huggingface.co/nvidia/nemotron-4-340b-instruct,NVIDIA,nvidia-open-model-license,88.22%,89.41%,84.36%,90.50%,64.00%,76.00%,93.50%,88.50%,86.50%,97.65%,99.00%,95.71%,96.00%,84.00%,80.00%,80.42%,N/A,6.27,5.08,16.27
10,87.12%,GPT-4-turbo-2024-04-09 (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,91.36%,88.73%,87.45%,94.00%,65.00%,80.00%,96.50%,91.00%,90.50%,99.41%,99.00%,100.00%,96.00%,82.00%,77.50%,64.58%,5.27,1.76,1.07,3.92
