Rank,Overall Acc,Model,Model Link,Organization,License,AST Summary,Exec Summary,Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Simple Exec,Multiple Exec,Parallel Exec,Parallel Multiple Exec,Irrelevance Detection,Relevance Detection,Cost ($ Per 1k Function Calls),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s)
1,85.79%,GPT-4-0125-Preview (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,85.50%,89.25%,78.82%,88.44%,91.00%,83.75%,99.00%,96.00%,82.00%,80.00%,61.35%,97.56%,7.76,1.46,0.98,3.38
2,85.00%,GPT-4-1106-Preview (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,86.31%,87.38%,78.75%,89.12%,94.12%,83.25%,99.00%,96.00%,82.00%,72.50%,64.98%,90.24%,7.88,1.58,2.32,3.52
3,84.74%,GPT-4-0613 (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,84.66%,87.57%,78.76%,85.46%,91.75%,82.67%,98.29%,96.00%,86.00%,70.00%,75.57%,82.93%,22.73,1.67,1.09,3.73
4,83.89%,GPT-4-turbo-2024-04-09 (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,85.41%,88.12%,80.47%,88.81%,88.12%,84.25%,99.00%,96.00%,80.00%,77.50%,61.82%,82.93%,7.81,1.4,0.92,3.13
5,83.35%,GPT-4o-mini-2024-07-18 (Prompt),https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,OpenAI,Proprietary,80.51%,87.95%,75.88%,81.64%,85.12%,79.42%,98.29%,94.00%,82.00%,77.50%,79.20%,80.49%,0.12,0.62,0.46,1.22
6,83.13%,GPT-4o-2024-05-13 (Prompt),https://openai.com/index/hello-gpt-4o/,OpenAI,Proprietary,83.83%,85.12%,76.18%,86.01%,92.12%,81.00%,98.00%,94.00%,76.00%,72.50%,77.44%,78.05%,3.92,0.71,1.3,1.25
7,82.55%,Functionary-Medium-v3.1 (FC),https://huggingface.co/meetkai/functionary-medium-v3.1,MeetKai,MIT,81.06%,89.32%,74.34%,87.59%,81.62%,80.67%,98.29%,94.00%,90.00%,75.00%,73.23%,70.73%,N/A,5.06,5.45,13.35
8,81.78%,GPT-4-1106-Preview (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,77.95%,87.61%,69.32%,84.19%,86.38%,71.92%,95.43%,94.00%,86.00%,75.00%,72.70%,82.93%,6.72,3.46,4.01,10.13
9,81.59%,Meta-Llama-3-70B-Instruct (Prompt),https://llama.meta.com/llama3,Meta,Meta Llama 3 Community,80.15%,88.04%,72.87%,85.91%,84.00%,77.83%,94.14%,94.00%,84.00%,80.00%,50.47%,92.68%,1.1,0.18,N/A,N/A
10,80.88%,Claude-3-Opus-20240229 (Prompt),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,79.42%,87.39%,76.65%,87.47%,78.38%,75.17%,98.57%,94.00%,82.00%,75.00%,56.15%,85.37%,15.53,2.99,1.65,5.41
11,80.87%,GPT-4-0125-Preview (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,77.02%,85.30%,68.76%,84.95%,80.38%,74.00%,84.21%,94.00%,88.00%,75.00%,74.03%,85.37%,6.49,3.37,4.0,12.05
12,80.23%,Nemotron-4-340b-instruct (Prompt),https://huggingface.co/nvidia/nemotron-4-340b-instruct,NVIDIA,nvidia-open-model-license,76.67%,83.38%,68.51%,80.38%,78.62%,79.17%,86.00%,90.00%,80.00%,77.50%,84.10%,78.05%,N/A,5.0,8.96,12.13
13,80.21%,Functionary-Small-v3.1 (FC),https://huggingface.co/meetkai/functionary-small-v3.1,MeetKai,MIT,78.64%,83.45%,72.70%,83.31%,85.62%,72.92%,87.79%,90.00%,86.00%,70.00%,68.36%,85.37%,N/A,3.11,3.58,7.24
14,79.66%,mistral-large-2407 (FC Any),https://mistral.ai/news/mistral-large-2407/,Mistral AI,Proprietary,85.61%,88.45%,81.01%,87.42%,90.50%,83.50%,98.29%,92.00%,86.00%,77.50%,0.34%,100.00%,2.37,2.51,1.63,5.42
15,79.55%,GPT-4o-2024-05-13 (FC),https://openai.com/index/hello-gpt-4o/,OpenAI,Proprietary,79.45%,83.36%,70.40%,82.33%,89.00%,76.08%,88.93%,84.00%,88.00%,72.50%,73.50%,70.73%,3.04,1.06,1.03,2.73
16,79.41%,xLAM-7b-fc-r (FC),https://huggingface.co/Salesforce/xLAM-7b-fc-r,Salesforce,cc-by-nc-4.0,72.77%,85.68%,70.28%,78.18%,74.12%,68.50%,94.21%,88.00%,88.00%,72.50%,79.76%,80.49%,N/A,N/A,N/A,N/A
17,79.25%,GPT-4o-mini-2024-07-18 (FC),https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,OpenAI,Proprietary,77.63%,81.80%,67.83%,80.16%,85.38%,77.17%,83.21%,92.00%,82.00%,70.00%,71.83%,82.93%,0.1,1.01,1.05,2.73
18,79.14%,Open-Mixtral-8x22b (Prompt),https://mistral.ai/news/mixtral-8x22b/,Mistral AI,Proprietary,75.60%,86.71%,73.47%,76.14%,79.12%,73.67%,91.86%,96.00%,84.00%,75.00%,71.42%,70.73%,1.93,2.05,2.15,5.47
19,79.10%,Gorilla-OpenFunctions-v2 (FC),https://gorilla.cs.berkeley.edu/blogs/7_open_functions_v2.html,Gorilla LLM,Apache 2.0,73.17%,84.96%,70.81%,79.47%,75.75%,66.67%,95.86%,96.00%,78.00%,70.00%,73.13%,85.37%,0.31,0.05,N/A,N/A
20,79.09%,GPT-4-turbo-2024-04-09 (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,76.29%,83.80%,64.21%,82.72%,82.50%,75.75%,88.71%,88.00%,86.00%,72.50%,79.79%,70.73%,6.24,2.85,3.33,8.76
21,78.96%,Functionary-Small-v3.2 (FC),https://huggingface.co/meetkai/functionary-small-v3.2,MeetKai,MIT,76.16%,83.04%,69.50%,81.50%,80.12%,73.50%,90.64%,88.00%,86.00%,67.50%,72.32%,80.49%,N/A,2.72,3.49,7.08
22,78.87%,GPT-4o-2024-08-06 (FC),https://openai.com/index/hello-gpt-4o/,OpenAI,Proprietary,77.63%,82.96%,70.71%,80.97%,83.25%,75.58%,85.36%,90.00%,84.00%,72.50%,82.91%,63.41%,1.62,1.02,0.94,2.69
23,78.78%,mistral-large-2407 (FC Auto),https://mistral.ai/news/mistral-large-2407/,Mistral AI,Proprietary,82.12%,83.09%,68.28%,86.44%,90.25%,83.50%,76.86%,92.00%,86.00%,77.50%,48.93%,78.05%,2.53,2.93,3.92,7.32
24,77.92%,Claude-3-Sonnet-20240229 (Prompt),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,78.43%,86.91%,71.80%,85.26%,82.75%,73.92%,96.14%,90.00%,84.00%,77.50%,30.01%,87.80%,3.1,1.56,0.55,2.5
