Rank,Overall Acc,Model,Model Link,Cost ($ Per 1k Function Calls),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Non-Live Exec Acc,Non-Live Simple Exec,Non-Live Multiple Exec,Non-Live Parallel Exec,Non-Live Parallel Multiple Exec,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Multi Turn Composite,Relevance Detection,Irrelevance Detection,Organization,License
1,59.49%,GPT-4-turbo-2024-04-09 (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,34.98,2.87,7.77,5.3,82.65%,60.58%,91.00%,90.00%,89.00%,83.80%,88.71%,88.00%,86.00%,72.50%,73.39%,67.83%,74.45%,75.00%,62.50%,21.62%,33.50%,3.50%,20.00%,29.50%,N/A,70.73%,79.79%,OpenAI,Proprietary
2,59.29%,GPT-4o-2024-08-06 (FC),https://openai.com/index/hello-gpt-4o/,8.37,1.33,2.45,2.73,85.52%,73.58%,92.50%,91.50%,84.50%,82.96%,85.36%,90.00%,84.00%,72.50%,71.79%,67.83%,69.43%,75.00%,66.67%,21.25%,31.00%,5.00%,19.50%,29.50%,N/A,63.41%,82.91%,OpenAI,Proprietary
3,59.13%,xLAM-8x22b-r (FC),https://huggingface.co/Salesforce/xLAM-8x22b-r,N/A,2.64,1.44,5.36,89.75%,77.00%,95.50%,92.50%,94.00%,89.32%,98.29%,94.00%,90.00%,75.00%,72.81%,70.93%,77.72%,75.00%,75.00%,15.62%,21.50%,3.50%,17.00%,20.50%,N/A,97.56%,75.23%,Salesforce,cc-by-nc-4.0
4,58.45%,GPT-4o-mini-2024-07-18 (FC),https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,0.56,1.67,9.29,2.74,82.83%,67.83%,90.50%,89.50%,83.50%,81.80%,83.21%,92.00%,82.00%,70.00%,67.53%,67.83%,69.82%,81.25%,70.83%,25.75%,36.50%,9.50%,24.50%,32.50%,N/A,82.93%,71.83%,OpenAI,Proprietary
5,57.94%,xLAM-8x7b-r (FC),https://huggingface.co/Salesforce/xLAM-8x7b-r,N/A,1.21,0.76,2.61,88.44%,77.25%,95.50%,92.00%,89.00%,85.89%,91.57%,94.00%,88.00%,70.00%,71.97%,68.99%,76.18%,50.00%,75.00%,15.75%,18.50%,8.00%,15.50%,21.00%,N/A,92.68%,72.35%,Salesforce,cc-by-nc-4.0
6,57.21%,GPT-4o-mini-2024-07-18 (Prompt),https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,0.86,1.35,9.33,2.01,86.54%,79.67%,89.50%,89.00%,88.00%,87.95%,98.29%,94.00%,82.00%,77.50%,72.77%,72.09%,73.77%,81.25%,70.83%,11.62%,15.00%,1.50%,13.00%,17.00%,N/A,80.49%,79.20%,OpenAI,Proprietary
7,55.82%,mistral-large-2407 (FC),https://mistral.ai/news/mistral-large-2407/,14.7,2.57,13.35,4.15,84.12%,57.50%,94.00%,93.00%,92.00%,83.09%,76.86%,92.00%,86.00%,77.50%,67.17%,79.07%,78.88%,87.50%,75.00%,20.50%,29.00%,13.00%,19.50%,20.50%,N/A,78.05%,48.93%,Mistral AI,Proprietary
8,55.67%,GPT-4-turbo-2024-04-09 (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,55.96,1.5,4.6,2.98,91.31%,82.25%,94.50%,95.00%,93.50%,88.12%,99.00%,96.00%,80.00%,77.50%,67.97%,78.68%,83.12%,81.25%,75.00%,10.62%,12.50%,5.50%,11.00%,13.50%,N/A,82.93%,61.82%,OpenAI,Proprietary
9,54.83%,Claude-3.5-Sonnet-20240620 (FC),https://www.anthropic.com/news/claude-3-5-sonnet,24.75,3.57,2.33,7.01,70.35%,75.42%,93.50%,62.00%,50.50%,66.34%,95.36%,86.00%,44.00%,40.00%,71.39%,72.48%,70.68%,68.75%,75.00%,23.50%,30.50%,8.00%,27.00%,28.50%,N/A,63.41%,75.91%,Anthropic,Proprietary
10,53.66%,GPT-4o-2024-08-06 (Prompt),https://openai.com/index/hello-gpt-4o/,11.18,0.87,1.88,1.43,80.90%,64.08%,86.50%,88.00%,85.00%,77.89%,70.57%,88.00%,78.00%,75.00%,73.88%,67.44%,67.21%,56.25%,58.33%,6.12%,9.00%,1.00%,7.50%,7.00%,N/A,53.66%,89.56%,OpenAI,Proprietary
11,53.43%,o1-mini-2024-09-12 (Prompt),https://openai.com/index/openai-o1-mini-advancing-cost-efficient-reasoning/,76.79,9.74,7.26,19.69,75.48%,68.92%,89.00%,73.50%,70.50%,76.86%,78.93%,88.00%,78.00%,62.50%,71.17%,62.79%,65.09%,68.75%,58.33%,11.00%,16.00%,2.00%,12.50%,13.50%,N/A,46.34%,88.07%,OpenAI,Proprietary
12,53.01%,Gemini-1.5-Flash-Preview-0514 (FC),https://deepmind.google/technologies/gemini/flash/,1.32,0.6,1.73,0.83,77.10%,65.42%,94.50%,71.50%,77.00%,71.23%,57.93%,84.00%,78.00%,65.00%,71.17%,62.79%,72.61%,56.25%,54.17%,13.12%,17.50%,4.00%,15.50%,15.50%,N/A,60.98%,76.15%,Google,Proprietary
13,52.53%,Gemini-1.5-Pro-Preview-0514 (FC),https://deepmind.google/technologies/gemini/pro/,12.91,1.48,2.32,2.48,75.54%,50.17%,89.50%,83.50%,79.00%,77.46%,71.86%,86.00%,82.00%,70.00%,69.26%,60.08%,66.35%,75.00%,54.17%,10.87%,15.50%,1.50%,11.00%,15.50%,N/A,60.98%,80.56%,Google,Proprietary
14,51.93%,GPT-3.5-Turbo-0125 (FC),https://platform.openai.com/docs/models/gpt-3-5-turbo,1.41,1.09,1.09,1.98,84.52%,74.08%,93.00%,87.50%,83.50%,81.66%,95.14%,88.00%,86.00%,57.50%,59.00%,65.50%,74.16%,56.25%,54.17%,19.12%,30.00%,7.50%,23.00%,16.00%,N/A,97.56%,35.83%,OpenAI,Proprietary
15,51.78%,FireFunction-v2 (FC),https://huggingface.co/fireworks-ai/firefunction-v2,N/A,2.95,1.62,5.53,85.71%,78.83%,92.00%,91.00%,81.00%,84.23%,94.43%,88.00%,82.00%,72.50%,61.71%,69.38%,70.97%,56.25%,54.17%,11.62%,21.50%,1.50%,17.50%,6.00%,N/A,87.80%,52.94%,Fireworks,Apache 2.0
16,51.78%,Open-Mistral-Nemo-2407 (FC),https://mistral.ai/news/mistral-nemo/,1.38,0.98,1.86,1.66,80.98%,60.92%,92.00%,85.50%,85.50%,81.46%,91.36%,86.00%,86.00%,62.50%,61.44%,68.22%,67.98%,75.00%,62.50%,14.25%,21.00%,10.00%,13.50%,12.50%,N/A,65.85%,59.14%,Mistral AI,Proprietary
17,51.45%,xLAM-7b-fc-r (FC),https://huggingface.co/Salesforce/xLAM-7b-fc-r,N/A,N/A,N/A,N/A,86.83%,77.33%,92.50%,91.50%,86.00%,85.02%,91.57%,88.00%,88.00%,72.50%,68.81%,63.57%,63.36%,56.25%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,80.49%,79.76%,Salesforce,cc-by-nc-4.0
18,51.01%,Gorilla-OpenFunctions-v2 (FC),https://gorilla.cs.berkeley.edu/blogs/7_open_functions_v2.html,0.31,0.05,N/A,N/A,87.29%,77.67%,95.00%,89.00%,87.50%,84.96%,95.86%,96.00%,78.00%,70.00%,68.59%,63.95%,63.93%,62.50%,45.83%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,85.37%,73.13%,Gorilla LLM,Apache 2.0
19,49.63%,Claude-3-Opus-20240229 (FC tools-2024-04-04),https://www.anthropic.com/news/claude-3-family,124.2,9.19,13.56,20.25,58.40%,74.08%,89.50%,35.00%,35.00%,63.16%,84.64%,86.00%,52.00%,30.00%,70.50%,64.73%,70.40%,43.75%,20.83%,15.62%,22.00%,4.00%,14.50%,22.00%,N/A,73.17%,76.40%,Anthropic,Proprietary
20,49.55%,Meta-Llama-3-70B-Instruct (Prompt),https://llama.meta.com/llama3,1.1,0.18,N/A,N/A,87.21%,75.83%,94.50%,91.50%,87.00%,87.41%,94.14%,94.00%,84.00%,77.50%,63.39%,69.77%,78.01%,75.00%,66.67%,1.12%,1.50%,1.50%,1.00%,0.50%,N/A,92.68%,50.63%,Meta,Meta Llama 3 Community
21,48.14%,Command-R-Plus (Prompt) (Original),https://txt.cohere.com/command-r-plus-microsoft-azure,12.12,1.07,0.53,2.0,75.54%,71.17%,85.00%,80.00%,66.00%,77.57%,91.29%,86.00%,78.00%,55.00%,67.88%,65.12%,71.26%,75.00%,58.33%,0.25%,0.50%,0.00%,0.00%,0.50%,N/A,75.61%,69.31%,Cohere For AI,cc-by-nc-4.0
22,47.66%,Granite-20b-FunctionCalling (FC),https://huggingface.co/ibm-granite/granite-20b-functioncalling,N/A,0.25,0.14,0.47,82.67%,73.17%,92.00%,84.00%,81.50%,82.96%,85.36%,90.00%,84.00%,72.50%,55.89%,57.36%,54.10%,37.50%,54.17%,3.63%,4.50%,1.50%,3.50%,5.00%,N/A,95.12%,72.43%,IBM,Apache-2.0
23,45.88%,Hermes-2-Pro-Llama-3-70B (FC),https://huggingface.co/NousResearch/Hermes-2-Pro-Llama-3-70B,2.45,0.4,N/A,N/A,81.73%,65.92%,80.50%,90.50%,90.00%,81.29%,80.64%,88.00%,84.00%,72.50%,58.60%,66.67%,62.49%,50.00%,66.67%,0.25%,0.50%,0.00%,0.00%,0.50%,N/A,80.49%,53.80%,NousResearch,apache-2.0
