Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
1,70.85%,GLM-4.5 (FC),https://huggingface.co/zai-org/GLM-4.5,2.9,2.73,8.58,5.43,86.60%,74.42%,94.50%,90.50%,87.00%,81.72%,88.37%,80.15%,87.50%,75.00%,65.62%,75.00%,65.50%,58.50%,63.50%,79.00%,81.00%,77.00%,50.75%,40.65%,54.84%,56.77%,75.00%,83.79%,N/A,N/A,Zhipu AI,MIT
2,70.36%,Claude-Opus-4-1-20250805 (FC),https://www.anthropic.com/news/claude-4,207.12,4.33,4.91,7.54,88.38%,76.00%,96.00%,91.50%,90.00%,81.50%,86.82%,80.06%,87.50%,83.33%,57.88%,66.50%,57.50%,47.50%,60.00%,77.00%,82.00%,72.00%,62.15%,47.10%,61.94%,77.42%,62.50%,81.82%,N/A,N/A,Anthropic,Proprietary
3,70.29%,Claude-Sonnet-4-20250514 (FC),https://www.anthropic.com/news/claude-4,41.49,4.08,6.87,7.06,88.38%,75.50%,95.00%,93.50%,89.50%,81.05%,88.37%,79.20%,93.75%,75.00%,54.75%,64.00%,54.00%,47.50%,53.50%,84.00%,86.00%,82.00%,59.35%,40.65%,69.68%,67.74%,62.50%,82.47%,N/A,N/A,Anthropic,Proprietary
4,67.87%,GLM-4.5-Air (FC),https://huggingface.co/zai-org/GLM-4.5-Air,4.22,3.89,6.25,9.69,87.15%,73.08%,94.00%,93.00%,88.50%,79.42%,83.33%,78.35%,87.50%,79.17%,62.50%,69.50%,64.00%,57.50%,59.00%,73.50%,75.00%,72.00%,47.53%,30.97%,57.42%,54.19%,81.25%,82.58%,N/A,N/A,Zhipu AI,MIT
5,61.60%,Grok-4-0709 (Prompt),https://docs.x.ai/docs/models,333.24,19.23,23.3,65.54,81.27%,68.08%,89.00%,87.50%,80.50%,69.73%,79.07%,67.33%,81.25%,66.67%,43.25%,50.00%,44.00%,36.00%,43.00%,72.00%,71.00%,73.00%,54.41%,51.61%,54.19%,57.42%,75.00%,82.41%,9.0,1.99,xAI,Proprietary
6,61.01%,Grok-4-0709 (FC),https://docs.x.ai/docs/models,329.44,10.78,15.75,33.39,85.21%,73.33%,92.50%,89.50%,85.50%,74.39%,77.91%,73.69%,68.75%,70.83%,36.12%,44.00%,31.00%,26.00%,43.50%,72.50%,67.00%,78.00%,65.38%,57.42%,72.26%,66.45%,87.50%,66.39%,N/A,N/A,xAI,Proprietary
7,59.22%,GPT-5-2025-08-07 (FC),https://openai.com/index/introducing-gpt-5/,159.16,10.85,20.38,28.27,72.92%,58.67%,76.00%,84.00%,73.00%,58.25%,61.63%,57.45%,50.00%,62.50%,28.50%,33.50%,29.50%,23.00%,28.00%,84.50%,86.00%,83.00%,57.63%,40.65%,60.65%,71.61%,62.50%,91.31%,N/A,N/A,OpenAI,Proprietary
8,58.76%,o3-2025-04-16 (Prompt),https://openai.com/index/introducing-o3-and-o4-mini/,235.89,5.68,5.59,15.37,81.42%,73.67%,88.00%,85.00%,79.00%,73.43%,81.78%,71.32%,81.25%,70.83%,56.12%,60.50%,56.00%,50.50%,57.50%,43.50%,47.00%,40.00%,46.45%,27.74%,45.81%,65.81%,87.50%,84.45%,5.0,1.22,OpenAI,Proprietary
9,56.07%,Moonshotai-Kimi-K2-Instruct (FC),https://huggingface.co/moonshotai/Kimi-K2-Instruct,6.94,7.4,5.19,16.04,85.17%,78.17%,93.00%,85.50%,84.00%,80.83%,87.98%,79.39%,87.50%,62.50%,48.75%,60.50%,41.00%,42.00%,51.50%,59.00%,69.00%,49.00%,25.16%,20.65%,18.71%,36.13%,75.00%,80.12%,N/A,N/A,MoonshotAI,modified-mit
10,55.30%,Moonshotai-Kimi-K2-Instruct (Prompt),https://huggingface.co/moonshotai/Kimi-K2-Instruct,6.26,4.83,3.87,11.2,84.02%,79.08%,93.00%,76.00%,88.00%,77.57%,86.05%,75.78%,81.25%,62.50%,41.25%,51.00%,43.00%,31.00%,40.00%,63.00%,65.00%,61.00%,33.98%,11.61%,35.48%,54.84%,75.00%,73.72%,23.0,6.62,MoonshotAI,modified-mit
11,54.81%,o4-mini-2025-04-16 (Prompt),https://openai.com/index/introducing-o3-and-o4-mini/,138.16,5.58,4.31,15.31,79.48%,70.92%,84.00%,84.50%,78.50%,71.06%,81.78%,68.47%,81.25%,62.50%,47.00%,53.00%,49.50%,40.00%,45.50%,55.00%,69.00%,41.00%,29.68%,19.35%,18.71%,50.97%,68.75%,87.17%,7.0,1.87,OpenAI,Proprietary
12,54.37%,Qwen3-235B-A22B-Instruct-2507 (FC),https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,12.02,12.27,30.57,41.23,88.10%,77.92%,94.50%,90.00%,90.00%,82.61%,87.98%,81.58%,68.75%,79.17%,44.50%,54.00%,45.50%,29.00%,49.50%,49.00%,61.00%,37.00%,29.25%,14.19%,18.71%,54.84%,93.75%,82.98%,N/A,N/A,Qwen,apache-2.0
