Rank,Overall Acc,Model,Model Link,Organization,License,AST Summary,Exec Summary,Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Simple Exec,Multiple Exec,Parallel Exec,Parallel Multiple Exec,Irrelevance Detection,Relevance Detection,Cost ($ Per 1k Function Calls),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s)
1,79.88%,Claude-3.5-Sonnet-20240620 (Prompt),https://www.anthropic.com/news/claude-3-5-sonnet,Anthropic,Proprietary,83.96%,88.58%,83.42%,74.64%,90.28%,87.50%,98.82%,94.00%,84.00%,77.50%,76.57%,63.41%,3.52,2.47,1.29,4.95
2,77.88%,GPT-4-turbo-2024-04-09 (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,81.27%,82.78%,75.62%,75.77%,88.89%,84.82%,84.12%,88.00%,84.00%,75.00%,76.84%,75.61%,6.04,3.12,3.62,9.94
3,77.80%,Claude-3-Opus-20240229 (Prompt),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,80.77%,88.71%,80.45%,72.21%,84.72%,85.71%,98.82%,94.00%,82.00%,80.00%,75.58%,60.98%,17.36,3.54,1.38,6.15
4,77.78%,GPT-4o-2024-08-06 (FC),https://openai.com/index/hello-gpt-4o/,OpenAI,Proprietary,81.92%,82.90%,78.96%,72.21%,91.67%,84.82%,80.59%,90.00%,86.00%,75.00%,78.19%,65.85%,1.6,1.15,1.09,3.15
5,77.02%,GPT-4-0125-Preview (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,82.54%,83.29%,78.59%,77.87%,88.89%,84.82%,77.65%,90.00%,88.00%,77.50%,69.57%,85.37%,6.38,3.79,4.94,14.21
6,76.97%,GPT-4o-mini-2024-07-18 (Prompt),https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,OpenAI,Proprietary,83.23%,88.06%,82.43%,74.15%,87.50%,88.84%,98.24%,94.00%,80.00%,80.00%,67.50%,75.61%,0.13,0.76,0.48,1.55
7,76.71%,GPT-4-1106-Preview (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,82.55%,85.57%,78.47%,77.54%,90.28%,83.93%,91.76%,92.00%,86.00%,72.50%,66.97%,82.93%,6.53,3.6,4.48,11.08
8,75.98%,Nemotron-4-340b-instruct (Prompt),https://huggingface.co/nvidia/nemotron-4-340b-instruct,NVIDIA,nvidia-open-model-license,80.25%,88.14%,79.08%,70.44%,88.89%,82.59%,97.06%,94.00%,84.00%,77.50%,71.54%,78.05%,N/A,9.4,28.47,23.73
9,75.60%,Mistral-Medium-2312 (Prompt),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Proprietary,76.46%,75.36%,75.87%,67.12%,84.26%,78.57%,62.94%,78.00%,88.00%,72.50%,84.74%,53.66%,3.06,2.22,1.62,5.45
10,75.53%,GPT-4o-2024-05-13 (FC),https://openai.com/index/hello-gpt-4o/,OpenAI,Proprietary,80.91%,83.68%,77.10%,75.04%,89.81%,81.70%,88.24%,84.00%,90.00%,72.50%,68.22%,70.73%,2.96,1.76,2.28,5.01
11,75.42%,yi-large (FC),https://platform.01.ai/,01.AI,Proprietary,81.57%,89.61%,77.97%,74.64%,87.50%,86.16%,92.94%,94.00%,84.00%,87.50%,66.07%,63.41%,0.75,4.46,4.75,15.93
12,74.59%,Claude-3.5-Sonnet-20240620 (FC),https://www.anthropic.com/news/claude-3-5-sonnet,Anthropic,Proprietary,67.79%,67.24%,81.81%,75.61%,60.19%,53.57%,96.47%,90.00%,40.00%,42.50%,74.33%,63.41%,5.25,4.66,1.68,7.84
13,74.50%,Functionary-Medium-v3.1 (FC),https://huggingface.co/meetkai/functionary-medium-v3.1,MeetKai,MIT,62.97%,0.00%,86.63%,77.75%,25.00%,62.50%,0.00%,0.00%,0.00%,0.00%,62.81%,73.17%,196.84,8.14,8.31,20.16
14,73.53%,Gorilla-OpenFunctions-v2 (FC),https://gorilla.cs.berkeley.edu/blogs/7_open_functions_v2.html,Gorilla LLM,Apache 2.0,79.15%,86.07%,81.19%,66.24%,86.57%,82.59%,95.29%,94.00%,80.00%,75.00%,67.06%,75.61%,0.31,0.05,N/A,N/A
15,73.42%,GPT-4o-mini-2024-07-18 (FC),https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,OpenAI,Proprietary,78.99%,82.69%,73.76%,72.54%,88.43%,81.25%,81.76%,90.00%,84.00%,75.00%,66.88%,80.49%,0.1,1.28,1.3,3.65
16,73.17%,GPT-4o-2024-05-13 (Prompt),https://openai.com/index/hello-gpt-4o/,OpenAI,Proprietary,75.16%,79.02%,83.42%,77.14%,72.22%,67.86%,90.59%,82.00%,66.00%,77.50%,59.52%,78.05%,4.31,0.97,0.74,2.05
17,72.43%,Functionary-Small-v3.2 (FC),https://huggingface.co/meetkai/functionary-small-v3.2,MeetKai,MIT,57.81%,0.00%,82.98%,69.08%,25.00%,54.17%,0.00%,0.00%,0.00%,0.00%,69.45%,80.49%,64.62,2.67,3.25,7.35
18,72.39%,Claude-3-Opus-20240229 (FC tools-2024-04-04),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,60.51%,71.39%,77.85%,75.04%,45.83%,43.30%,87.06%,86.00%,60.00%,52.50%,75.13%,65.85%,37.7,13.21,4.11,20.78
19,71.90%,Functionary-Small-v3.1 (FC),https://huggingface.co/meetkai/functionary-small-v3.1,MeetKai,MIT,59.11%,0.00%,84.35%,72.93%,25.00%,54.17%,0.00%,0.00%,0.00%,0.00%,62.01%,85.37%,74.66,3.09,3.73,7.56
20,71.60%,Open-Mixtral-8x22b (Prompt),https://mistral.ai/news/mixtral-8x22b/,Mistral AI,Proprietary,73.66%,84.23%,73.51%,50.65%,86.11%,84.38%,89.41%,82.00%,88.00%,77.50%,84.74%,51.22%,2.35,1.81,1.52,5.12
21,70.99%,mistral-large-2407 (FC Auto),https://mistral.ai/news/mistral-large-2407/,Mistral AI,Proprietary,84.33%,84.71%,76.73%,81.02%,90.28%,89.29%,78.82%,92.00%,88.00%,80.00%,44.61%,82.93%,2.45,2.32,3.29,6.15
22,70.89%,Gemini-1.5-Pro-Preview-0409 (FC),https://deepmind.google/technologies/gemini/#introduction,Google,Proprietary,72.36%,76.63%,65.72%,62.28%,83.33%,78.12%,53.53%,92.00%,86.00%,75.00%,81.60%,60.98%,1.41,1.72,0.93,3.15
23,70.89%,xLAM-7b-fc-r (FC),https://huggingface.co/Salesforce/xLAM-7b-fc-r,Salesforce,cc-by-nc-4.0,75.99%,86.70%,79.83%,51.78%,88.89%,83.48%,95.29%,86.00%,88.00%,77.50%,74.69%,58.54%,N/A,N/A,N/A,N/A
24,70.41%,Claude-3-Sonnet-20240229 (Prompt),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,81.82%,86.46%,80.20%,71.16%,88.43%,87.50%,92.35%,90.00%,86.00%,77.50%,50.00%,80.49%,3.41,1.62,0.5,2.47
25,70.16%,FireFunction-v2 (FC),https://huggingface.co/fireworks-ai/firefunction-v2,Fireworks,Apache 2.0,79.25%,84.30%,81.31%,73.75%,83.80%,78.12%,94.71%,88.00%,82.00%,72.50%,48.03%,87.80%,N/A,1.45,1.01,2.84
26,69.30%,GPT-4-0613 (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,73.20%,87.01%,69.93%,41.44%,93.06%,88.39%,97.06%,88.00%,88.00%,75.00%,86.71%,29.27%,25.23,2.61,26.69,3.63
27,69.27%,Hermes-2-Pro-Llama-3-70B (FC),https://huggingface.co/NousResearch/Hermes-2-Pro-Llama-3-70B,NousResearch,apache-2.0,78.57%,83.62%,77.97%,65.83%,85.65%,84.82%,80.00%,88.00%,84.00%,82.50%,56.55%,78.05%,2.45,0.4,N/A,N/A
28,69.20%,Meta-Llama-3-70B-Instruct (Prompt),https://llama.meta.com/llama3,Meta,Meta Llama 3 Community,80.79%,86.19%,79.08%,71.73%,87.96%,84.38%,91.76%,90.00%,88.00%,75.00%,46.68%,80.49%,1.1,0.18,N/A,N/A
