Rank,Overall Acc,Model,Model Link,Organization,License,AST Summary,Exec Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Simple Exec,Python Simple Exec,REST Simple Exec,Multiple Exec,Parallel Exec,Parallel Multiple Exec,Irrelevance Detection,Cost ($ Per 1k Function Calls),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s)
1,95.75%,Functionary-Medium-v3.1 (FC),https://huggingface.co/meetkai/functionary-medium-v3.1,MeetKai,MIT,23.94%,0.00%,95.75%,95.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,196.84,8.14,8.31,20.16
2,94.75%,Functionary-Small-v3.1 (FC),https://huggingface.co/meetkai/functionary-small-v3.1,MeetKai,MIT,23.69%,0.00%,94.75%,94.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,74.66,3.09,3.73,7.56
3,94.25%,Functionary-Small-v3.2 (FC),https://huggingface.co/meetkai/functionary-small-v3.2,MeetKai,MIT,23.56%,0.00%,94.25%,94.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,64.62,2.67,3.25,7.35
4,90.24%,Claude-3.5-Sonnet-20240620 (Prompt),https://www.anthropic.com/news/claude-3-5-sonnet,Anthropic,Proprietary,91.92%,88.58%,88.18%,95.50%,66.00%,74.00%,95.50%,92.00%,92.00%,98.82%,98.00%,100.00%,94.00%,84.00%,77.50%,84.17%,3.52,2.47,1.29,4.95
5,88.76%,GPT-4-0613 (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,90.94%,87.01%,87.27%,94.00%,65.00%,78.00%,93.00%,93.50%,90.00%,97.06%,95.00%,100.00%,88.00%,88.00%,75.00%,80.42%,25.23,2.61,26.69,3.63
6,88.71%,Claude-3-Opus-20240229 (Prompt),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,89.15%,88.71%,87.09%,94.50%,63.00%,76.00%,94.50%,86.50%,88.50%,98.82%,99.00%,98.57%,94.00%,82.00%,80.00%,84.17%,17.36,3.54,1.38,6.15
7,88.41%,xLAM-7b-fc-r (FC),https://huggingface.co/Salesforce/xLAM-7b-fc-r,Salesforce,cc-by-nc-4.0,89.72%,86.70%,86.36%,95.00%,60.00%,70.00%,93.00%,92.00%,87.50%,95.29%,97.00%,92.86%,86.00%,88.00%,77.50%,84.58%,N/A,N/A,N/A,N/A
8,88.18%,GPT-4-1106-Preview (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,91.35%,89.06%,88.91%,95.50%,68.00%,78.00%,96.00%,89.50%,91.00%,98.24%,98.00%,98.57%,92.00%,86.00%,80.00%,70.42%,8.72,1.99,7.63,3.44
9,87.65%,GPT-4o-mini-2024-07-18 (Prompt),https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,OpenAI,Proprietary,89.41%,88.06%,87.64%,93.50%,65.00%,86.00%,92.50%,87.50%,90.00%,98.24%,98.00%,98.57%,94.00%,80.00%,80.00%,75.83%,0.13,0.76,0.48,1.55
10,87.59%,GPT-4-0125-Preview (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,91.43%,88.31%,88.73%,95.75%,69.00%,72.00%,95.00%,90.00%,92.00%,98.24%,97.00%,100.00%,94.00%,86.00%,75.00%,66.67%,8.56,1.66,1.01,3.52
11,87.35%,Nemotron-4-340b-instruct (Prompt),https://huggingface.co/nvidia/nemotron-4-340b-instruct,NVIDIA,nvidia-open-model-license,88.65%,88.14%,85.09%,91.25%,64.00%,78.00%,93.50%,90.00%,86.00%,97.06%,97.00%,97.14%,94.00%,84.00%,77.50%,80.42%,N/A,9.4,28.47,23.73
12,87.00%,GPT-4-turbo-2024-04-09 (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,91.53%,88.06%,87.64%,94.50%,66.00%,76.00%,96.50%,90.50%,91.50%,98.24%,97.00%,100.00%,92.00%,82.00%,80.00%,64.17%,8.59,1.75,3.94,3.45
13,86.65%,GPT-4-1106-Preview (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,88.40%,85.57%,83.09%,92.50%,59.00%,56.00%,90.50%,92.50%,87.50%,91.76%,96.00%,85.71%,92.00%,86.00%,72.50%,83.75%,6.53,3.6,4.48,11.08
14,86.35%,GPT-4o-2024-08-06 (FC),https://openai.com/index/hello-gpt-4o/,OpenAI,Proprietary,88.91%,82.90%,83.64%,92.75%,58.00%,62.00%,91.50%,93.00%,87.50%,80.59%,95.00%,60.00%,90.00%,86.00%,75.00%,87.08%,1.6,1.15,1.09,3.15
