Rank,Overall Acc,Model,Model Link,Organization,License,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection,Cost ($ Per 1k Function Calls),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s)
1,73.52%,GPT-4-0613 (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,35.62%,65.89%,76.59%,0.00%,0.00%,75.51%,73.17%,14.86,2.46,2.36,7.01
2,72.68%,GPT-4-turbo-2024-04-09 (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,66.34%,67.83%,72.54%,62.50%,62.50%,74.60%,75.61%,6.04,3.12,3.62,9.94
3,72.37%,Claude-3.5-Sonnet-20240620 (FC),https://www.anthropic.com/news/claude-3-5-sonnet,Anthropic,Proprietary,68.03%,72.87%,72.16%,56.25%,70.83%,73.23%,63.41%,5.25,4.66,1.68,7.84
4,72.06%,Claude-3.5-Sonnet-20240620 (Prompt),https://www.anthropic.com/news/claude-3-5-sonnet,Anthropic,Proprietary,65.66%,73.26%,70.62%,68.75%,50.00%,74.49%,63.41%,3.52,2.47,1.29,4.95
5,71.30%,GPT-4o-2024-08-06 (FC),https://openai.com/index/hello-gpt-4o/,OpenAI,Proprietary,68.75%,68.99%,68.50%,75.00%,62.50%,75.74%,65.85%,1.6,1.15,1.09,3.15
6,71.21%,Claude-3-Opus-20240229 (FC tools-2024-04-04),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,51.23%,65.89%,72.35%,25.00%,41.67%,73.34%,65.85%,37.7,13.21,4.11,20.78
7,70.72%,Functionary-Medium-v3.1 (FC),https://huggingface.co/meetkai/functionary-medium-v3.1,MeetKai,MIT,59.43%,72.48%,77.75%,25.00%,62.50%,62.81%,73.17%,196.84,8.14,8.31,20.16
8,70.64%,GPT-4-0125-Preview (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,66.91%,69.77%,74.95%,56.25%,66.67%,65.45%,85.37%,6.38,3.79,4.94,14.21
9,70.59%,Gemini-1.5-Flash-Preview-0514 (FC),https://deepmind.google/technologies/gemini/flash/,Google,Proprietary,58.22%,62.40%,72.54%,43.75%,54.17%,72.20%,58.54%,0.13,0.77,0.41,1.2
10,70.46%,Mistral-Medium-2312 (Prompt),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Proprietary,56.01%,61.63%,62.43%,62.50%,37.50%,84.44%,53.66%,3.06,2.22,1.62,5.45
